Codi	Concepte
01	IMPOST BÉNS IMMOBLES URBANS
02	IMPOST BÉNS IMMOBLES RÚSTICS
03	IMPOST VEHICLES TRAC. MECÀNICA
04	IMP.INCREM.VALOR TERR.URBANS
05	IMP.CONSTRUC.INST.I OBRES
06	EXECUCIONS SUBSIDIÀRIES
07	LLIC. FISCAL PROF. I ARTIST.
08	IMPOST DE RADICACIÓ
09	IMPOST SOBRE PUBLICITAT
10	IMPOST ACTIVITATS ECONÒMIQUES
11	TAXA RESIDUS DOMÈSTICS
12	TAXA RESIDUS COMERCIALS
13	TAXA ESCOMBRARIES INDUSTRIALS
14	TAXA ESCOMBRARIES E.M.S.H.T.R.
15	TAXA DE CLAVEGUERAM
16	TAXA CEMENTIRI MUNICIPAL
17	TAXA INSPECCIÓ
18	TAXA EXPEDICIÓ DOCUMENTS
19	TAXA LLIC.AUTOTAXIS I V.LLOG.
20	TAXA LLIC. URBANÍSTIQUES
21	TAXA LLIC. OBERTURA ESTABLIM.
22	TAXA RETIRADA VEHICLES
23	TAXA DE SANEJAMENT
24	TAXA ESPECTACLES PÚBLICS
25	INGRESSOS TRIBUTARIS-4
26	SOLARS SENSE EDIFICAR
27	TRIBUT METROPOLITÀ
28	TAXA ESCOMBRARIES SELECTIVES
29	TAXA INTERV.ACTIVITATS-INSTAL.
2B	QUOTA CONSERVACIÓ
30	FIANCES URBANÍSTIQUES
31	CÀNON DE L'AIGUA
32	CÀNON DE L'AIGUA
33	QUOTES DE MANTENIMENT
34	INGRESSOS TRIBUTARIS-5
35	TAXA PUBLICITAT
36	ALTRES INGRESSOS NO TRIB. 3
37	ALTRES INGRESSOS TRIBUTARIS-3
38	RECÀRREC D'EXTEMPORANEÏTAT
39	SANCIONS TRIBUTÀRIES
40	ALTRES INGRESSOS NO TRIB. 4
41	TAXA ENTRADA VEHICLES-GUALS
42	TAXA SUBMINISTRAMENT D'AIGUA
43	TAXA OCUP.SÒL, SUBSÒL I VOLADA
44	TAXA OCUPACIÓ VIA PÚBLICA
45	TAXA MERCAT MUNICIPAL
46	SERVEI GUARDERIA MUNICIPAL
47	INSTAL.LACIONS ESPORTIVES
48	TAXA ESCORXADOR MUNICIPAL
49	PRESTACIÓ PERSONAL I TRANSPORT
50	TAXA VIGILÀNCIA ESPECIAL
51	TAXA INST.PORTADES I ANÀLEGS
52	TAXA DESGUÀS CANAL. I ANÀLEGS
53	TAXA RODATGE I ARROSSEG.VEHIC.
54	TAXA LLUITA CONTRA LA PEDRA
55	TAXA EXHIBICIÓ DE RÈTOLS
56	TX APROF ESP:TELECOMUNICACIONS
57	TAXA APROFITAMENTS ESPECIALS
58	ENSENYAMENTS ESPECIALS MUNIC.
59	SERVEIS SANITARIS MUNICIPALS
60	INSTAL. TERRENYS ÚS PÚBLIC
